bin,data,device,energyJ,runtimeMS
KMEANS,SMALL,CPU,0.005542102969999999,0.296624
KMEANS,SMALL,CPU,0.00556352335,0.300468
KMEANS,SMALL,GPU,0.0233907412,2.9973599999999996
KMEANS,SMALL,GPU,0.0228123709,3.2471280000000005
KMEANS,MEDIUM,CPU,28.978191560799996,1292.6873759999999
KMEANS,MEDIUM,CPU,47.86845820759999,2113.3613879999994
KMEANS,MEDIUM,GPU,4.024130712099999,178.70057599999998
KMEANS,MEDIUM,GPU,4.057229121600001,179.06522799999996
KMEANS,LARGE,CPU,1561.9588295924007,68295.50152399999
KMEANS,LARGE,CPU,1627.6638173050999,68262.05846400002
KMEANS,LARGE,GPU,21.285808241199998,601.6134880000003
KMEANS,LARGE,GPU,21.03426522990001,602.5566800000001
